"date","class","lat","lon","Beach","density"
"20160125","female",37.1139109522882,-122.328904314598,"BBSU",9
"20160125","female",37.1139125839498,-122.329121672051,"BBSL",7
"20160125","female",37.1139296222338,-122.328832764797,"BBSU",10
"20160125","female",37.1139317036696,-122.329057287779,"BBSL",9
"20160125","female",37.1139355553248,-122.328943015551,"BBSL",9
"20160125","female",37.1139347131896,-122.32910523588,"BBSL",7
"20160125","female",37.1139560177248,-122.329118724825,"BBSL",5
"20160125","female",37.1139633742708,-122.328831457808,"BBSU",11
"20160125","female",37.1139778373622,-122.328863106229,"BBSU",11
"20160125","female",37.1139923451858,-122.329010262187,"BBSL",2
"20160125","female",37.113998041428,-122.328893578701,"BBSU",12
"20160125","female",37.1140231757271,-122.328844582063,"BBSU",12
"20160125","female",37.1140383430731,-122.328842588818,"BBSU",14
"20160125","female",37.1140586480186,-122.328885274557,"BBSU",11
"20160125","female",37.1140607480027,-122.328814790395,"BBSU",13
"20160125","female",37.1140726338147,-122.328857332477,"BBSU",12
"20160125","female",37.1140719009897,-122.3289145151,"BBSU",8
"20160125","female",37.1141345954853,-122.328884279127,"BBSU",7
"20160125","female",37.1141435341922,-122.328857187973,"BBSU",10
"20160125","female",37.1141836492177,-122.328998752547,"BBSU",0
"20160125","female",37.1142178080329,-122.329136672506,"BBSL",1
"20160125","female",37.114238082367,-122.329140185281,"BBSL",2
"20160125","female",37.1143148212248,-122.329156243633,"BMB",4
"20160125","female",37.1143211886673,-122.329220697259,"BMB",7
"20160125","female",37.1143311692776,-122.329248522525,"BMB",9
"20160125","female",37.1143297613991,-122.329392194763,"BMB",1
"20160125","female",37.114334588011,-122.329150033277,"BMS",3
"20160125","female",37.1143644682451,-122.329306727276,"BMB",11
"20160125","female",37.1143772153901,-122.329283938611,"BMB",11
"20160125","female",37.1143819100001,-122.329245920392,"BMB",10
"20160125","female",37.1143883047733,-122.32929380162,"BMB",11
"20160125","female",37.1144123420546,-122.329229860022,"BMB",10
"20160125","female",37.1144053061786,-122.329267552973,"BMB",10
