"animalID","MomAnimalID","year","weighingdate","weandate","sex","Wt","source","SL","AG","origtag","CL","region","error"
"7722",NA,1985,1985-03-09,NA,"M",155,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"7735","5120",1985,1985-03-09,1985-02-07,"F",103,"archive_1979_2021",142,5,NA,NA,NA,NA
"7752","35156",1985,1985-02-26,1985-02-13,"F",126,"archive_1979_2021",145,NA,NA,NA,NA,NA
"7757","4898",1985,1985-03-09,1985-02-06,"M",108,"archive_1979_2021",147,7,NA,NA,NA,NA
"8375","5364",1985,1985-02-02,1985-01-25,"M",123,"archive_1979_2021",135,6,NA,NA,NA,NA
"8376","5827",1985,1985-02-16,1985-02-11,"M",87,"archive_1979_2021",130,4,NA,NA,NA,NA
"8377","4482",1985,1985-02-12,1985-01-26,"F",106,"archive_1979_2021",7,NA,NA,NA,NA,NA
"8378","6240",1985,1985-02-05,1985-01-29,"F",112,"archive_1979_2021",142,NA,NA,NA,NA,NA
"8379","5208",1985,1985-02-05,1985-01-30,"M",110,"archive_1979_2021",150,6,NA,NA,NA,NA
"8380","4353",1985,1985-02-14,1985-01-22,"F",119,"archive_1979_2021",157,7,NA,NA,NA,NA
"8383","28268",1985,1985-02-16,1985-02-01,"M",122,"archive_1979_2021",146,7,NA,NA,NA,NA
"8385","4605",1985,1985-02-05,1985-01-24,"M",116,"archive_1979_2021",140,NA,NA,NA,NA,NA
"8386","4780",1985,1985-02-05,1985-01-28,"M",155,"archive_1979_2021",155,7,NA,NA,NA,NA
"8387","27512",1985,1985-03-01,1985-02-03,"M",117,"archive_1979_2021",152,7,NA,NA,NA,NA
"8388",NA,NA,NA,NA,"F",155,"archive_1979_2021",NA,NA,NA,NA,NA,NA
"8389","19000",1985,1985-02-11,1985-02-07,"M",147,"archive_1979_2021",8,NA,NA,NA,NA,NA
"8390","5330",1985,1985-02-14,1985-02-11,"M",150,"archive_1979_2021",157,6,NA,NA,NA,NA
"8391","5746",1985,1985-02-11,1985-02-07,"M",82,"archive_1979_2021",4,NA,NA,NA,NA,NA
